Question,Equation,Type
arun and tarun can do a work in number0 days . after number1 days tarun went to his village . how many days are required to complete the remaining work by arun alone . arun can do the work alone in number2 days .,- number2  * / number2  number0  number1,Physics
"after an ice began to melt out from the freezer , in the first hour lost number0 / number1 , in the second hour lost number0 / number1 of its remaining . if after two hours , the volume is number2.number3 cubic inches , what is the original volume of the cubic ice , in cubic inches ?",/ / number2.number3  0.25  0.25,Physics
"if number0 men and number1 boys can do a piece of work in number2 days while number3 men and number4 boys can do the same in number5 days , the time taken by number6 men and number7 boys in doing the same type of work will be :",/ * + number0  4  number2  + number6  number2,Physics
"a man rows his boat number0 km downstream and number1 km upstream , taking number2 hours each time . find the speed of the stream ?",/ - / number0  number2  / number1  number2  2,Physics
"if it takes a machine number0 ⁄ number1 minute to produce one item , how many items will it produce in number2 hours ?",/ * number2  60  / number0  number1,Physics
"the h . c . f . of two numbers is number0 and their l . c . m . is number1 . if one of the numbers is number2 , find the other .",* number0  number2,Physics
"a cubical tank is filled with water to a level of number0 feet . if the water in the tank occupies number1 cubic feet , to what fraction of its capacity is the tank filled with water ?",/ number0  / number1  10,Physics
a train running at the speed of number0 km / hr crosses a pole in number1 sec . what is the length of the train ?,* / * number0  1000  3600  number1,Physics
"a can build a wall in the same time in which b and c together can do it . if a and b together could do it in number0 days and c alone in number1 days , in what time could b alone do it ?",* / * number0  number1  - number1  number0  2,Physics
"if number0 men and number1 boys can do a piece of work in number2 days while number3 men and number4 boys can do the same in number5 days , the time taken by number6 men and number7 boys in doing the same type of work will be ?",/ * + number0  4  number2  + number6  number2,Physics
"a man goes downstream at number0 kmph , and upstream number1 kmph . the speed of the stream is",/ - number0  number1  2,Physics
"in a number0 m race , a beats b by number1 m and b beats c by number2 m . in the same race , by how many meters does a beat c ?",- number0  / * - number0  number1  - number0  number2  number0,Physics
a car travelling with number0 / number1 km of its actual speed covers number2 km in number0 hr number3 min number4 sec find the actual speed of the car ?,/ * / number2  + number0  / + * number3  60  number4  3600  number1  number0,Physics
"if teena is driving at number0 miles per hour and is currently number1.number2 miles behind joe , who is driving at number3 miles per hour in the same direction then in how many minutes will teena be number4 miles ahead of joe ?",* / + - number0  number3  number1.number2  - number0  number3  60,Physics
a trader sells number0 meters of cloth for rs . number1 at the profit of rs . number2 per metre of cloth . what is the cost price of one metre of cloth ?,- / number1  number0  number2,Physics
number0 men can complete a piece of work in number1 days . in how many days will number2 men complete the same work ?,/ * number1  number0  number2,Physics
the diameter of the wheel of a car is number0 m . how many revolution / min must the wheel makein order to keep a speed of number1 km / hour approximately ?,/ / * number1  1000  60  * / + * 2  10  2  + 4  3  / number0  100,Physics
"sari and ken climb up a mountain . at night , they camp together . on the day they are supposed to reach the summit , sari wakes up at 06 : 00 and starts climbing at a constant pace . ken starts climbing only at 08 : 00 , when sari is already number3 meters ahead of him . nevertheless , ken climbs at a constant pace of number4 meters per hour , and reaches the summit before sari . if sari is number5 meters behind ken when he reaches the summit , at what time did ken reach the summit ?",+ / + number3  number5  - number4  / number3  2  number2,Physics
"a goods train leaves a station at a certain time and at a fixed speed . after ^ hours , an express train leaves the same station and moves in the same direction at a uniform speed of number0 kmph . this train catches up the goods train in number1 hours . find the speed of the goods train .",/ * number0  number1  + number1  + 3  3,Physics
"ram and shakil run a race of number0 meters . first , ram gives shakil a start of number1 meters and beats him by one minute . if , ram gives shakil a start of number2 minutes ram is beaten by number3 meters . find the time in minutes in which ram and shakil can run the races separately .",- / / - number0  number1  / number3  number1  number2  * / number3  number1  10,Physics
rahul can do a work in number0 days while rajesh can do the same work in number1 days . both of them finish the work together and get $ number2 . what is the share of rahul ?,* / number1  + number0  number1  number2,Physics
"two printing presses begin printing currency at the same time and at constant speeds . press f produces number0 - dollar bills at the rate of number1,000 bills per minute . press t produces number3 - dollar bills at the rate of number4 bills per minute . once the machines have begun printing , how many seconds does it take for press f to produce number5 dollars more currency than press t ?",* 60  / number5  * 100  10,Physics
rahul can do a work in number0 days while rajesh can do the same work in number1 days . both of them finish the work together and get $ number2 . what is the share of rahul ?,* / number1  + number0  number1  number2,Physics
"cara leaves her home and walks toward don ' s house . two hours later , don leaves his home and walks toward cara ' s house . the distance between their homes is number0 kilometers , cara ' s walking speed is number1 km / h , and don ' s walking speed is number2 km / h . how many kilometers will cara walk before she meets don ?",+ * number1  2  * number1  / - number0  * number1  2  + number1  number2,Physics
the speed of a bus increases by number0 km after every one hour . if the distance travelling in the first one hour was number1 km . what was the total distance travelled in number2 hours ?,* + number1  + number1  * - number2  1  number0  / number2  number0,Physics
a courtyard is number0 meter long and number1 meter board is to be paved with bricks of dimensions number2 cm by number3 cm . the total number of bricks required is ?,/ * * number0  100  * number1  100  * number2  number3,Physics
the speed of a car is number0 km in the first hour and number1 km in the second hour . what is the average speed of the car ?,/ + number0  number1  2,Physics
a train passes a station platform in number0 sec and a man standing on the platform in number1 sec . if the speed of the train is number2 km / hr . what is the length of the platform ?,* number1  * number2  0.2778,Physics
"a man can row upstream at number0 kmph and downstream at number1 kmph , and then find the speed of the man in still water ?",/ + number0  number1  2,Physics
a rectangular grassy plot number0 m . by number1 m has a gravel path number2.number3 m wide all round it on the inside . find the cost of gravelling the path at number4 paise per sq . metre,/ * - * number0  number1  * - number0  * number2.number3  2  - number1  * number2.number3  2  number4  100,Physics
a train is number0 meter long is running at a speed of number1 km / hour . in what time will it pass a bridge of number2 meter length,/ + number0  number2  / * number1  1000  3600,Physics
find the side of the largest possible square slabs which can be paved on the floor of a room number0 m number1 cm long and number2 m number1 cm broad . also find the number of such slabs to pave the floor .,* + 2  3  * number0  3,Physics
a train speeds past a pole in number0 seconds and a platform number1 m long in number2 seconds . its length is :,* number1  - 2  1,Physics
walking at the rate of number0 kmph a man cover certain distance in number0 hr number1 min . running at a speed of number2 kmph the man will cover the same distance in .,* / * number0  + number0  / number1  60  number2  60,Physics
an airplane covers number0 miles in number1 / number2 hours . how many miles can the airplane cover in number2 hours ?,* * number0  number2  number2,Physics
"in how many seconds will a train number0 meters long pass an oak tree , if the speed of the train is number1 km / hr ?",/ number0  * 0.2778  number1,Physics
a train of length number0 m crosses a bridge of length number1 m in number2 seconds . what is the speed of train ?,* 3_6  / + number0  number1  number2,Physics
"a can do a work in number0 days . when he had worked for number1 days , b joinedhim . if they complete the work in number1 more days , in how manydays can balone finish the work ?",/ number0  - 3  1,Physics
a motorboat can go at number0 kmph and still water . it takes number1 hours to row from a to b and back . what is the distance between a and b if the speed of the stream is number2 kmph ?,/ number1  + / 1  + number0  number2  / 1  - number0  number2,Physics
"the number of students in each section of a school is number0 . after admitting new students , three new sections were started . now , the total number of sections is number1 and there are number2 students in each section . the number of new students admitted is :",- * number1  number2  * number0  - number1  3,Physics
a man crosses a number0 m long street in number1 minutes . what is his speed in km per hour ?,/ / number0  1000  / number1  60,Physics
a train running at the speed of number0 km / hr crosses a pole in number1 seconds . find the length of the train .,* / * number0  1000  3600  number1,Physics
"a monkey ascends a greased pole number0 meters high . he ascends number1 meters in the first minute and then slips down number2 meter in the alternate minute . if this pattern continues until he climbs the pole , in how many minutes would he reach at the top of the pole ?",+ * * 4  number1  number1  number2,Physics
a can run number0 metre in number1 seconds and b in number2 seconds . by what distance a beat b ?,- number0  * / number0  number2  number1,Physics
"a man swims downstream number0 km and upstream number1 km taking number2 hours each time , what is the speed of the man in still water ?",/ + / number1  number2  / number0  number2  2,Physics
"a train number0 m long passes a man , running at number1 km / hr in the same direction in which the train is going , in number2 seconds . the speed of the train is ?",/ / - number0  * * number1  0.2778  number1  number1  0.2778,Physics
"in one hour , a boat goes number0 km along the stream and number1 km against the stream . the speed of the boat in still water ( in km / hr ) is :",/ + number0  number1  2,Physics
"machines x and y produce bottles at their respective constant rates . machine x produces k bottles in number0 hours and machine y produces k bottles in number1 hours . how many hours does it take machines x and y , working simultaneously , to produce number2 k bottles ?",/ * number2  / + number0  number1  number1  number1,Physics
"tanks a and b are each in the shape of a right circular cylinder . the interior of tank a has a height of number0 meters and a circumference of number1 meters , and the interior of tank b has a height of number1 meters and a circumference of number2 meters . the capacity of tank a is what percent of the capacity of tank b ?",* * ^ / number1  number2  2  / number0  number1  100,Physics
find the distance covered by a man walking for number0 min at a speed of number1 km / hr ?,/ * number0  / * number1  1000  60  1000,Physics
a train travels number0 km in number1.number2 hours and number3 km in number2 hours . find the average speed of train .,/ + number0  number3  + number1.number2  number2,Physics
the speed of a boat in still water in number0 km / hr and the rate of current is number1 km / hr . the distance travelled downstream in number2 minutes is :,* + number0  number1  / number2  60,Physics
"if number0 apprentices can finish a job in number1 hours , and number2 journeymen can finish the same job in number3 hours , how much of the job should be completed by number4 apprentices and number5 journeymen in one hour ?",+ / 1  / * number0  number1  10  / 1  / * number2  number3  number5,Physics
"how long will take a leak at the bottom of a tank to empty it if it will take number0 hours to fill it without the leak , but due to the leak it will take number1 hours to be filled ?",* number0  number1,Physics
"he greatest possible length which can be used to measure exactly the lengths number0 m , number1 m number2 cm , number3 m number4 cm is :",* + 4  1  number0,Physics
"excluding stoppages , the speed of a train is number0 kmph and including stoppages it is number1 kmph . of how many minutes does the train stop per hour ?",- 60  * 60  / number1  number0,Physics
john bought number0.number1 m of cloth for $ number2.number3 . find the cost price per metre .,/ number2.number4  number0.number1,Physics
"a can go round a circular path number0 times in number1 minutes . if the diameter of the circle is increased to number2 times the original diameter , then the time required by a to go round the new path once , travelling at the same speed as before is",/ * number1  number2  number0,Physics
"the radius of the wheel of a bus is number0 cms and the speed of the bus is number1 km / h , then the r . p . m . ( revolutions per minutes ) of the wheel is",/ / * 100  * 1000  number1  * 60  1  * * 2  number0  + 3  / + 2  * 3  4  ^ + 2  * 4  2  2,Physics
a train number0 m long is running with a speed of number1 km / hr . in what time will it pass a man who is running at number2 km / hr in the direction opposite to that in which the train is going ?,/ number0  * + number1  number2  0.2778,Physics
"in an examination , a student scores number0 marks for every correct answer and loses number1 mark for every wrong answer . if he attempts all number2 questions and secures number3 marks , the no of questions he attempts correctly is :",/ + number3  number2  + number0  number1,Physics
"on a map , number0.number1 inches represent number2 miles . how many miles approximately is the distance if you measured number3 centimeters assuming that number0 - inch is number4.number5 centimeters ?",* / number3  number4.number5  / number2  number0.number1,Physics
a woman complete a journey in number0 hours . she travels first half of the journey at the rate of number1 km / hr and second half at the rate of number2 km / hr . find the total journey in km .,* * / * number0  number2  + number2  number1  number1  2,Physics
"a cistern has a leak which would empty the cistern in number0 minutes . a tap is turned on which admits number1 liters a minute into the cistern , and it is emptied in number2 minutes . how many liters does the cistern hold ?",* number2  number0,Physics
the distance between two cities a and b is number0 km . a train starts from a at number1 a . m . and travel towards b at number2 km / hr . another train starts from b at number3 a . m and travels towards a at number4 km / hr . at what time do they meet ?,+ / + number0  number4  + number2  number4  number1,Physics
car a runs at the speed of number0 km / hr & reaches its destination in number1 hr . car b runs at the speed of number2 km / h & reaches its destination in number3 h . what is the respective ratio of distances covered by car a & car b ?,/ * number0  number1  * number2  number3,Physics
"the distance from city a to city b is number0 miles . while driving from city a to city b , bob drives at a constant speed of number1 miles per hour . alice leaves city a number2 minutes after bob . what is the minimum constant speed in miles per hour that alice must exceed in order to arrive in city b before bob ?",/ number0  - / number0  number1  / number2  60,Physics
"if number0 persons can build a wall number1 m long in number2 days , the number of days that number3 persons will take to complete a similar wall number4 m long , is ?",/ * * number0  number4  number2  * number1  number3,Physics
the sum of three consecutive even numbers is number0 . find the middle number of the three ?,+ + ^ + + / - - number0  10  2  4  2  2  2  ^ + + + / - - number0  10  2  4  2  2  2  2  + ^ / - - number0  10  2  4  2  ^ + / - - number0  10  2  4  2  2,Physics
"excluding stoppages , the speed of a bus is number0 kmph and including stoppages , it is number1 kmph . for how many minutes does the bus stop per hour ?",* 60  / - number0  number1  number0,Physics
a leak in the bottom of a tank can empty the full tank in number0 hours . an inlet pipe fills water at the rate of number1.number2 liters per minute . when the tank is full in inlet is opened and due to the leak the tank is empties in number3 hours . the capacity of the tank is ?,/ * number1.number2  * number3  60  - / * number3  60  * number0  60  1,Physics
suresh can complete a job in number0 hours . ashutosh alone can complete the same job in number0 hours . suresh works for number1 hours and then the remaining job is completed by ashutosh . how many hours will it take ashutosh to complete the remaining job alone ?,* - 1  / number1  number0  number0,Physics
"water is leaking out from a cylinder container at the rate of number0.number1 m ^ number2 per minute . after number3 minutes , the water level decreases number4 meters . what is value of the radius ?",/ * number3  number0.number1  number4,Physics
"trapezoid jklm in the x - y plane has coordinates j = ( – number0 , – number1 ) , k = ( – number0 , number1 ) , l = ( number2 , number3 ) , and m = ( number2 , – number1 ) . what is its perimeter ?",+ + + 10  + number1  number1  + number0  number2  + number3  number1,Physics
"noelle walks from point a to point b at an average speed of number0 kilometers per hour . at what speed , in kilometers per hour , must noelle walk from point b to point a so that her average speed for the entire trip is number1 kilometers per hour ?",/ * number1  number0  - * 2  number0  number1,Physics
a can do a work in number0 days . b can do the same work in number1 days . both a & b together will finish the work and they got $ number2 from that work . find their shares ?,/ * number0  number1  + number0  number1,Physics
"in number0 m race , a covers the distance in number1 seconds and b in number2 seconds . in this race a beats b by :",* / number0  number2  - number2  number1,Physics
how many seconds will a number0 m long train take to cross a man walking with a speed of number1 km / hr in the direction of the moving train if the speed of the train is number2 km / hr ?,/ number0  * - number2  number1  0.2778,Physics
"a taxi leaves point a number0 hours after a bus left the same spot . the bus is traveling number1 mph slower than the taxi . find the speed of the taxi , if it overtakes the bus in three hours .",/ + * number0  number1  * number0  number1  - + number0  number0  number0,Physics
a train number0 m long crosses a platform number1 m long in number2 sec ; find the speed of the train ?,- * number2  * 60.number3  0.2778  number0,Physics
"car x began traveling at an average speed of number0 miles per hour . after number1 minutes , car y began traveling at an average speed of number2 miles per hour . when both cars had traveled the same distance , both cars stopped . how many miles did car x travel from the time car y began traveling until both cars stopped ?",* number0  / * / number1  60  number0  - number2  number0,Physics
"a man swims downstream number0 km and upstream number1 km taking number2 hours each time , what is the speed of the man in still water ?",/ + / number1  number2  / number0  number2  2,Physics
convert number0 inches into centimeter ?,/ * * * + 3  2  2  * + 3  2  2  number0  * * + 3  2  2  * + 3  2  2,Physics
two trains are moving in opposite directions at number0 km / hr and number1 km / hr . their lengths are number2.number3 km and number4.number5 km respectively . the time taken by the slower train to cross the faster train in seconds is ?,- / * number2.number3  1000  / * number0  1000  3600  / * number4.number5  1000  / * number1  1000  3600,Physics
the sector of a circle has radius of number0 cm and central angle number1 o . find its perimeter ?,* * 2  / * - number0  3  2  + 4  3  number0,Physics
"a number0 m long train crosses a tree in number1 sec , how much time will it take to pass a platform number2 m long ?",/ + number0  number2  / number0  number1,Physics
number0 men take number1 days of number2 hrs . each to do a piece of work . how many days of number3 hrs . each would it take for number1 women if number4 women do as much work as number5 men ?,/ * * number0  number1  number2  * * number1  number3  / number5  number4,Physics
"kathleen can paint a room in number0 hours , and anthony can paint an identical room in number1 hours . how many hours would it take kathleen and anthony to paint both rooms if they work together at their respective rates ?",* / 1  + / 1  number0  / 1  number1  2,Physics
a bus travels first half distance between two places with a speed of number0 kmph and the rest half distance with a speed of number1 kmph . the average speed of the bus is ?,/ + number0  number1  2,Physics
how long does a train number0 m long running at the speed of number1 km / hr takes to cross a bridge number2 m length ?,/ + number0  number2  * number1  0.2778,Physics
"trapezoid jklm in the x - y plane has coordinates j = ( – number0 , – number1 ) , k = ( – number0 , number2 ) , l = ( number3 , number4 ) , and m = ( number3 , – number1 ) . what is its perimeter ?",+ + + 10  + number2  number1  + number0  number3  + number4  number1,Physics
"a can do a work in number0 days , b can do a work in number1 days and c can do it in number2 days . b left work after number3 day . for how many number of days should a and c should work together to complete the remaining work ?",+ / number3  number0  / number3  number1,Physics
jenny has recently moved house and is working out her optimal commute . she can take an indirect route which involves taking a bus for number0 mile and then walk number1.number2 miles . or she can take a direct route and walk for number0.number3 miles and this takes her number4 minutes . what is the most amount time that the bus journey can take for jenny to be indifferent between the two routes assuming travel time is her only concern ?,- number4  / number1.number2  / number0.number3  number4,Physics
"four machines , each working at the same constant rate , together can complete a certain job in number0 days . how many additional machines , each working at the same constant rate , will be needed to complete the job in number1 days ?",- / * number0  + 4  1  number1  + 4  1,Physics
"a car gets number0 miles to the gallon . if it is modified to use a solar panel , it will use only number1 percent as much fuel as it does now . if the fuel tank holds number2 gallons , how many more miles will the car be able to travel , per full tank of fuel , after it has been modified ?",- * * / number0  number1  100  number2  * number0  number2,Physics
john bought number0.number1 m of cloth for $ number2.number3 . find the cost price per metre .,/ number2.number3  number0.number1,Physics
"a certain automobile company ’ s best - selling model is the speedster . the speedster , like all of their other models , comes in coupe and convertible styles . number0 / number1 of the current inventory is speedsters , of which number2 / number3 are convertibles . if there are number4 vehicles that are not speedsters , how many speedster convertibles are there ?",* * / number4  - 1  / number0  number1  / number0  number1  / number2  number3,Physics
a and b start walking towards each other at number0 pm at speed of number1 kmph and number2 kmph . they were initially number3 km apart . at what time do they meet ?,+ number0  / number3  + number1  number2,Physics
a train running at the speed of number0 km / hr crosses a pole in number1 seconds . what is the length of the train ?,* / * number0  1000  3600  number1,Physics
"a certain electric - company plan offers customers reduced rates for electricity used between number0 p . m . and number0 a . m . weekdays and number1 hours a day saturdays and sundays . under this plan , the reduced rates x apply to what fraction of a week ?",/ + * / number1  2  + 2  3  * number1  2  * number1  + 3  4,Physics
"a tree of height number0 m is on one edge of a road broke at a certain height . it fell in such a way that the top of the tree touches the other edge of the road . if the breadth of the road is number1 m , then what is the height at which the tree broke ?",/ - ^ number0  2  ^ number1  2  * number0  2,Physics
a contractor is engaged for number0 days on the condition thathe receives rs . number1 for each day he works & is fined rs . number2.number3 for each day is absent . he gets rs . number4 in all . for how many days was he absent ?,- number0  / + * number2.number3  number0  number4  + number2.number3  number1,Physics
"two trains , each number0 m long , moving in opposite directions , cross other in number1 sec . if one is moving twice as fast the other , then the speed of the faster train is ?",/ * * / + number0  number0  * number1  + 1  2  2  3600  1000,Physics
"i flew my tiny seaplane to visit my mother . on the flight up , i flew at number0 mph . on the way home , i flew number1 mph . what was my average speed for the trip ?",/ + number0  number1  2,Physics
a person is traveling at number0 km / hr and reached his destiny in number1 hr then find the distance ?,* number0  number1,Physics
"a train number0 m long passes a man , running at number1 km / hr in the same direction in which the train is going , in number2 sec . the speed of the train is ?",/ / - number0  * * number1  0.2778  number1  number1  0.2778,Physics
"a train covers a distance of number0 km in number1 min . if it takes number2 sec to pass a telegraph post , then the length of the train is ?",/ number0  - / number0  number1  number2,Physics
"two pipes can fill a tank in number0 minutes and number1 minutes . an outlet pipe can empty the tank in number2 minutes . if all the pipes are opened when the tank is empty , then how many minutes will it take to fill the tank ?",- + / 1  number0  / 1  number1  / 1  number2,Physics
aarti can do a piece of work in number0 days . in how many days will she complete three time of work of same type ?,* 3  number0,Physics
"two cars , one from austin to dallas and the other from dallas to austin , start simultaneously . after they meet , the cars reach their destinations after number0 hours and number1 hours respectively the ratio of their speeds is",/ √ number0  √ number1,Physics
"a train number0 m long passes a man , running at number1 km / hr in the same direction in which the train is going , in number2 seconds . the speed of the train is :",/ / - number0  * * number1  0.2778  number1  number1  0.2778,Physics
number0 men do a work in number1 days . how many men are needed to finish the work in number2 days ?,/ * number0  number1  number2,Physics
a car takes number0 hours to cover a distance of number1 km . how much should the speed in kmph be maintained to cover the same direction in number2 / number3 th of the previous time ?,/ number1  / * number0  number2  number3,Physics
the perimeter of a rhombus is number0 units . one of its diagonal is number1 units . what is its second diagonals length ?,* √ - ^ / number0  4  2  ^ / number1  2  2  2,Physics
a boatman goes number0 km against the current of the stream in number0 hour and goes number1 km along the current in number2 minutes . how long will it take to go number0 km in stationary water ?,/ number0  / + * / number1  number2  60  / number0  number0  2,Physics
"if number0 women can color number1 m long cloth in number2 days , then number3 women can color number4 m long cloth in ?",/ number4  * number3  / number1  * number0  number2,Physics
"find the area of a cuboid of length number0 cm , breadth number1 cm . and height number2 cm .",* * number0  number1  number2,Physics
"a man traveled a total distance of number0 km . he traveled one - third of the whole trip by plane and the distance traveled by train is two - thirds of the distance traveled by bus . if he traveled by train , plane and bus , how many kilometers did he travel by bus ?",/ * / * number0  2  3  3  + 2  3,Physics
a goods train runs at the speed of number0 km / hr and crosses a number1 m long platform in number2 sec . what is the length of the goods train ?,- * * / number0  3600  1000  number2  number1,Physics
a goods train runs at the speed of number0 km / hr and crosses a number1 m long platform in number2 sec . what is the length of the goods train ?,- * * / number0  3600  1000  number2  number1,Physics
"two cyclist start on a circular track from a given point but in opposite direction with speeds of number0 m / s and number1 m / s . if the circumference of the circle is number2 meters , after what time will they meet at the starting point ?",/ number2  + number1  number0,Physics
a working mom wakes up every day at number0 am and goes to sleep at number1 pm . she works number2 hours a day . spends number3 hours working out at the gym . she spends number4.number5 hours cooking dinner and doing dishes . she spends . number5 of an hour giving her daughter a bath . she spends number4 hour helping with homework and getting her daughter ready for bed . she spends another . number5 of an hour packing lunches for the family for the next day . she spends . number5 of an hour cleaning the house and number3 hours taking a shower and reading or watching t . v . before she goes to sleep . what percent of her day does she spend at work ?,* / number2  + - * 3  4  number0  number1  100,Physics
"if the product of two numbers is number0 and their h . c . f . is number1 , find their l . c . m .",/ number0  number1,Physics
the perimeter of a semi circle is number0 cm then the radius is ?,/ number0  + 2  3.141592653589793,Physics
"together , number0 type a machines and number1 type b machines can complete a certain job in number2 hours . together number3 type b machines and number0 type c machines can complete the same job in number4 hours . how many hours r would it take one type a machine , one type b machine , and one type c machine working together to complete the job ( assuming constant rates for each machine ) ?",/ 1  / + / 1  number2  / 1  number4  number0,Physics
"two trains running in opposite directions cross a man standing on the platform in number0 seconds and number1 seconds respectively . if they cross each other in number2 seconds , what is the ratio of their speeds ?",/ - number0  number2  - number2  number1,Physics
express number0 mps in kmph ?,* / number0  1000  3600,Physics
how long does a train number0 m long running at the speed of number1 km / hr takes to cross a bridge number2 m length ?,/ + number0  number2  * number1  0.2778,Physics
how many seconds will a train number0 meters long running at the rate of number1 kmph take to pass a certain telegraph post ?,/ number0  * 0.2778  number1,Physics
suppose number0 monkeys take number0 minutes to eat number0 bananas . how many monkeys would it take to eat number1 bananas in number1 minutes ?,/ number1  / number1  number0,Physics
"in a kilometer race , a beats b by number0 meters or number1 seconds . what time does a take to complete the race ?",- / * 1  1000  / number0  number1  number1,Physics
"in what time will a train number0 m long cross an electric pole , it its speed be number1 km / hr ?",/ number0  * number1  0.2778,Physics
"a can do a piece of work in number0 hours ; b and c together can do it in number0 hours , while a and c together can do it in number1 hours . how long will b alone take to do it ?",/ 1  - / 1  number0  - / 1  number1  / 1  number0,Physics
"in a number0 m race , if a gives b a start of number1 metres , then a wins the race by number2 seconds . alternatively , if a gives b a start of number3 metres the race ends in a dead heat . how long does a take to run number0 m ?",/ - number0  number3  2,Physics
"if a farmer wants to plough a farm field on time , he must plough number0 hectares a day . for technical reasons he ploughed only number1 hectares a day , hence he had to plough number2 more days than he planned and he still has number3 hectares left . what is the area of the farm field and how many days the farmer planned to work initially ?",* / + number3  * number2  number1  - number0  number1  number0,Physics
"p is number0 % more efficient than q . p can complete a work in number1 days . if p and q work together , how many days will it take to complete the same work ?",/ * + / number0  100  1  number1  + + / number0  100  1  1,Physics
a boy standing idle sounds a whistle to his friend at a distance of number0 m moving away from him in a speeding car at number1 kms / hr . find the duration after which his friend is going to hear him . ( speed of sound = number2 m / sec ) .,+ / number0  number2  / * * 3  10  / number0  number2  number2,Physics
"shannon and maxine work in the same building and leave work at the same time . shannon lives due north of work and maxine lives due south . the distance between maxine ' s house and shannon ' s house is number0 miles . if they both drive home at the rate number1 r miles per hour , maxine arrives home number2 minutes after shannon . if maxine rider her bike home at the rate of r per hour and shannon still drives at a rate of number1 r miles per hour , shannon arrives home number1 hours before maxine . how far does maxine live from work ?",/ - * 3  number0  number0  3,Physics
a train speeds past a pole in number0 seconds and a platform number1 meters long in number2 seconds . what is the length of the train ( in meters ) ?,* number1  - 2  1,Physics
"john and david work at a hospital with number0 other workers . for an internal review , number1 of the number0 workers will be randomly chosen to be interviewed . what is the probability that john and david will both be chosen ?",* number1  * / 1  - number0  1  / 1  number0,Physics
"on a trip , a cyclist averaged number0 miles per hour for the first number1 miles and number1 miles per hour for the remaining number2 miles . if the cyclist returned immediately via the same route and took a total of number3.number4 hours for the round trip , what was the average speed ( in miles per hour ) for the return trip ?",/ + number1  number2  - number3.number4  + / number1  number0  / number2  number1,Physics
jerry began driving from home on a trip averaging number0 miles per hour . how many miles per hour must carla drive on average to catch up to him in exactly number1 hours if she leaves number0 minutes after jerry ?,/ * number0  + number1  / number0  60  number1,Physics
a boatman goes number0 km against the current of the stream in number0 hour and goes number1 km along the current in number2 minutes . how long will it take to go number3 km in stationary water ?,/ number3  / + * / number1  number2  60  / number0  number0  2,Physics
a and b can do a piece of work in number0 days and number1 days respectively . they began to do the work together but a leaves after some days and then b completed the remaining work in number2 days . the number of days after which a left the work was,/ - 1  / number2  number1  + / 1  number0  / 1  number1,Physics
"if number0 men can colour number1 m long cloth in number2 days , then number3 men can colour number4 m long cloth in",/ number4  * / number1  * number0  number2  number3,Physics
"calculate the speed of a boat in still water ( in km / hr ) if in one hour , the boat goes number0 km / hr downstream and number1 km / hr upstream .",/ + number0  number1  2,Physics
in what time will a railway train number0 m long moving at the rate of number1 kmph pass a telegraph post on its way ?,/ number0  * number1  0.2778,Physics
"a computer factory produces number0 computers per month at a constant rate , how many computers are built every number1 minutes assuming that there are number2 days in one month ?",/ / number0  number2  * - number2  4  2,Physics
"a runner runs the number0 miles from marathon to athens at a constant speed . halfway through the run she injures her foot , and continues to run at half her previous speed . if the second half takes her number1 hours longer than the first half , how many hours did it take the runner to run the second half ?",/ number0  / / number0  2  number1,Physics
"if it takes a machine number0 ⁄ number1 minute to produce one item , how many items will it produce in number0 hours ?",/ * number0  60  / number0  number1,Physics
"excluding stoppages , the speed of a bus is number0 kmph and including stoppages , it is number1 kmph . for how many minutes does the bus stop per hour ?",* 60  / - number0  number1  number0,Physics
a train is running at a speed of number0 km / hr and it crosses a post in number1 seconds . what is the length of the train ?,* number1  * number0  0.2778,Physics
a train is number0 meter long is running at a speed of number1 km / hour . in what time will it pass a bridge of number2 meter length ?,/ + number0  number2  / * number1  1000  3600,Physics
sakshi can do a piece of work in number0 days . tanya is number0 % more efficient than sakshi . the number of days taken by tanya to do the same piece of work :,/ number0  + 1  / number0  100,Physics
convert number0 miles into yards ?,/ * * * + 3  2  2  * + 3  2  2  number0  * * + 3  2  2  * + 3  2  2,Physics
"a bus covers a distance of number0 km in number1 min . if it takes number1 sec to pass a telegraph post , then the length of the bus is ?",* / * 1000  number0  * 60  number1  number1,Physics
x can finish a work in number0 days . y can finish the same work in number1 days . yworked for number2 days and left the job . how many days does x alone need to finish the remaining work ?,/ - 1  * number2  / 1  number1  / 1  number0,Physics
amar takes as much time in running number0 meters as a car takes in covering number1 meters . what will be the distance covered by amar during the time the car covers number2.number3 km ?,/ * number0  * number2.number3  1000  number1,Physics
"a man ate number0 bananas in number1 days , each day eating number2 more than the previous day . how many bananas did he eat on the first day ?",/ - / * number0  2  number1  * number2  4  2,Physics
if takes number0.number1 minutes to download a file using modem a . modem b work at number2 % of the speed of modem a . how long does it take to download a file using a modem b ?,/ * number0.number1  100  number2,Physics
"a boat can travel with aspeed of number0 km / hr in still water . if the speed of the stream is number1 km / hr , find the time taken by the boat to go number2 km downstream .",/ number2  + number0  number1,Physics
john bought number0.number1 m of cloth for $ number2.number3 . find the cost price per metre .,/ number2.number3  number0.number1,Physics
i walk a certain distance and ride back taking a total time of number0 minutes . i could walk both ways in number1 minutes . how long would it take me to ride both ways ?,- + - number1  number0  / number0  2  - number1  number0,Physics
