Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement,Grade,Type
Fred has number0 cents in his bank . How many dimes does Fred have ?,90,/ number0 10.0,9,"[1, 2, 3, 13, 14, 15]",Fred has number0 cents in his bank .,How many dimes does Fred have ?,,
"Virginia has number0 eggs and number1 Skittles . If she shares the eggs among number2 friends , how many eggs does each friend get ?",16.0 8.0 4.0,/ number0 number2,4,"[1, 2, 3, 4, 5, 6, 13, 14, 15, 21, 22, 23]","Virginia has number0 eggs and number1 Skittles . If she shares the eggs among number2 friends ,",how many eggs does each friend get ?,,
"Melanie had number0 baseball cards , and number1 were torn . Sara bought number2 of Melanie 's baseball cards . How many baseball cards does Melanie have now ?",30.0 9.0 18.0,#NAME?,12,"[1, 2, 3, 6, 7, 8, 12, 13, 14, 25, 26, 27]","Melanie had number0 baseball cards , and number1 were torn . Sara bought number2 of Melanie 's baseball cards .",How many baseball cards does Melanie have now ?,,
Will was working as a sacker at a grocery store where he made number0 dollars an hour . On Monday he worked number1 hours and on Tuesday he worked number2 hours . How much money did Will make in those two days ?,8.0 8.0 2.0,* number0 + number0 number2,80,"[12, 13, 14, 21, 22, 23, 28, 29, 30, 39, 40, 41]",Will was working as a sacker at a grocery store where he made number0 dollars an hour . On Monday he worked number1 hours and on Tuesday he worked number2 hours .,How much money did Will make in those two days ?,,
"If your gross pay is number0 dollars , while your net pay is number1 dollars , how much do you pay in taxes ? Assume that all tax dollars are not included in net pay .",450.0 315.0,#NAME?,135,"[4, 5, 6, 12, 13, 14, 32, 33, 34]","If your gross pay is number0 dollars , while your net pay is number1 dollars ,",how much do you pay in taxes ? Assume that all tax dollars are not included in net pay .,,
Joan found number0 seashells and Jessica found number1 seashells on the beach . How many seashells did they find together ?,6.0 8.0,#NAME?,14,"[1, 2, 3, 6, 7, 8, 17, 18, 19]",Joan found number0 seashells and Jessica found number1 seashells on the beach .,How many seashells did they find together ?,,
"John was trying to expand his game collection . He bought number0 games from a friend and bought number1 more at a garage sale . If number2 of the games did n't work , how many good games did he end up with ?",21.0 8.0 23.0,#NAME?,6,"[10, 11, 12, 17, 18, 19, 25, 26, 27, 40, 41, 42]","John was trying to expand his game collection . He bought number0 games from a friend and bought number1 more at a garage sale . If number2 of the games did n't work ,",how many good games did he end up with ?,,
"While on vacation , Gwen took number0 pictures at the zoo and number1 at the museum . If she later deleted number2 of the pictures , how many pictures from her vacation did she still have ?",41.0 29.0 15.0,#NAME?,55,"[5, 6, 7, 11, 12, 13, 20, 21, 22, 33, 34, 35]","While on vacation , Gwen took number0 pictures at the zoo and number1 at the museum . If she later deleted number2 of the pictures ,",how many pictures from her vacation did she still have ?,,
"If Lawrence walked number0 kilometers at number1 kilometers per hour , how long was Lawrence walking ?",4.0 3.0,#NAME?,1,"[2, 3, 4, 5, 6, 7, 13, 14, 15]","If Lawrence walked number0 kilometers at number1 kilometers per hour ,",how long was Lawrence walking ?,,
number0 friends own a car in Florida . One owns number1 of the car the second owns number2 . How much does the third own ?,3.0 0.5833 0.1667,- - 1.0 number1 number2,0.25,"[0, 1, 9, 10, 11, 16, 17, 18, 22, 23, 24]",number0 friends own a car in Florida . One owns number1 of the car the second owns number2 .,How much does the third own ?,,
"Edward earned number0 dollars for each lawn he mowed . If he had number1 lawns to mow , but forgot to mow number2 of them , how much money did he actually earn ?",4.0 17.0 9.0,* number0 - number1 number2,32,"[1, 2, 3, 12, 13, 14, 21, 22, 23, 30, 31, 32]","Edward earned number0 dollars for each lawn he mowed . If he had number1 lawns to mow , but forgot to mow number2 of them ,",how much money did he actually earn ?,,
"Debby 's class is going on a field trip to the zoo . If each van can hold number0 people and there are number1 students and number2 adults going , how many vans will they need ?",4.0 2.0 6.0,/ + number1 number2 number0,2,"[17, 18, 19, 22, 23, 24, 25, 26, 27, 33, 34, 35]","Debby 's class is going on a field trip to the zoo . If each van can hold number0 people and there are number1 students and number2 adults going ,",how many vans will they need ?,,
Jeremy strolled number0 kilometers at number1 kilometers per hour . How long did Jeremy stroll ?,20.0 2.0,/ number0 number1,10,"[1, 2, 3, 4, 5, 6, 12, 13, 14]",Jeremy strolled number0 kilometers at number1 kilometers per hour .,How long did Jeremy stroll ?,,
"Katie was selling her necklaces at a garage sale . She sold number0 bead necklaces and number1 gem stone necklaces . If each necklace cost number2 dollars , how much money did she earn ?",4.0 3.0 3.0,* number1 + number0 number1,21,"[11, 12, 13, 15, 16, 17, 24, 25, 26, 31, 32, 33]","Katie was selling her necklaces at a garage sale . She sold number0 bead necklaces and number1 gem stone necklaces . If each necklace cost number2 dollars ,",how much money did she earn ?,,
"Sam was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it , how many cans did he pick up total ?",3.0 4.0 9.0,* number2 + number0 number1,63,"[10, 11, 12, 18, 19, 20, 26, 27, 28, 37, 38, 39]","Sam was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it ,",how many cans did he pick up total ?,,
Eric has number0 boxes of pencils . Each box holds number1 pencils . How many pencils does Eric have ?,3.0 9.0,* number0 number1,27,"[1, 2, 3, 9, 10, 11, 16, 17, 18]",Eric has number0 boxes of pencils . Each box holds number1 pencils .,How many pencils does Eric have ?,,
There are number0 squirrels in a tree with number1 nuts . How many more squirrels are there than nuts ?,4.0 2.0,#NAME?,2,"[1, 2, 3, 7, 8, 9, 16, 17, 18]",There are number0 squirrels in a tree with number1 nuts .,How many more squirrels are there than nuts ?,,
"Chloe baked number0 brownies , but needed number1 total for her party . If she used number2 cups of flour on each one , how much cups of flour does she still need ?",7.0 16.0 6.0,* number2 - number1 number0,54,"[1, 2, 3, 6, 7, 8, 15, 16, 17, 30, 31, 32]","Chloe baked number0 brownies , but needed number1 total for her party . If she used number2 cups of flour on each one ,",how much cups of flour does she still need ?,,
There are number0 oranges in a box . Deborah has number1 oranges in a bag . Susan takes number2 oranges out of the box . How many oranges are left in the box ?,55.0 11.0 35.0,#NAME?,20,"[1, 2, 3, 9, 10, 11, 17, 18, 19, 30, 31, 32]",There are number0 oranges in a box . Deborah has number1 oranges in a bag . Susan takes number2 oranges out of the box .,How many oranges are left in the box ?,,
For the school bake sale Amy made pastries . She baked number0 cupcakes and number1 cookies . After the sale she had number2 to take back home . How many pastries did she sell ?,15.0 48.0 12.0,#NAME?,51,"[10, 11, 12, 13, 14, 15, 21, 22, 23, 31, 32, 33]",For the school bake sale Amy made pastries . She baked number0 cupcakes and number1 cookies . After the sale she had number2 to take back home .,How many pastries did she sell ?,,
"On her vacation last summer , Trisha walked all over New York City to buy souvenirs . First , she walked number0 mile from her hotel to a postcard shop . Then she walked number1 mile from the postcard shop to a T - shirt shop and number2 mile from the T - shirt shop back to the hotel . How many miles did Trisha walk in all ?",0.1111111111111111 0.1111111111111111 0.6666666666666666,#NAME?,0.888888889,"[20, 21, 22, 33, 34, 35, 46, 47, 48, 65, 66, 67]","On her vacation last summer , Trisha walked all over New York City to buy souvenirs . First , she walked number0 mile from her hotel to a postcard shop . Then she walked number1 mile from the postcard shop to a T - shirt shop and number2 mile from the T - shirt shop back to the hotel .",How many miles did Trisha walk in all ?,,
Sally has number0 orange balloons and number1 blue balloons . She lost number2 of the orange balloons . How many orange balloons does Sally have now ?,9.0 4.0 2.0,#NAME?,7,"[1, 2, 3, 5, 6, 7, 11, 12, 13, 23, 24, 25]",Sally has number0 orange balloons and number1 blue balloons . She lost number2 of the orange balloons .,How many orange balloons does Sally have now ?,,
"Allie counted the leftover ice cream after a sundae party . She had number0 carton of rocky road ice cream , number1 carton of cookie dough ice cream , and number2 carton of strawberry cheesecake ice cream . How many cartons of ice cream did Allie have in all ?",0.3333333333333333 0.3333333333333333 0.16666666666666666,#NAME?,0.833333333,"[12, 13, 14, 20, 21, 22, 29, 30, 31, 46, 47, 48]","Allie counted the leftover ice cream after a sundae party . She had number0 carton of rocky road ice cream , number1 carton of cookie dough ice cream , and number2 carton of strawberry cheesecake ice cream .",How many cartons of ice cream did Allie have in all ?,,
Mr. Guzman bought number0 doughnuts packed equally into number1 boxes . How many doughnuts were in each box ?,48.0 4.0,/ number0 number1,12,"[2, 3, 4, 7, 8, 9, 15, 16, 17]",Mr. Guzman bought number0 doughnuts packed equally into number1 boxes .,How many doughnuts were in each box ?,,
John walks number0 miles to school and Nina walks number1 miles to school . How much farther does John walk than Nina ?,0.7 0.4,#NAME?,0.3,"[1, 2, 3, 8, 9, 10, 19, 20, 21]",John walks number0 miles to school and Nina walks number1 miles to school .,How much farther does John walk than Nina ?,,
"Wendy was playing a video game and had number0 lives . In a hard part of the game she lost number1 lives . If she got number2 more lives in the next level , how many lives would she have ?",43.0 8.0 39.0,#NAME?,74,"[7, 8, 9, 19, 20, 21, 25, 26, 27, 37, 38, 39]","Wendy was playing a video game and had number0 lives . In a hard part of the game she lost number1 lives . If she got number2 more lives in the next level ,",how many lives would she have ?,,
Janet has number0 stickers . She gets number1 more from Ruth . How many stickers does Janet have in all ?,3.0 53.0,#NAME?,56,"[1, 2, 3, 6, 7, 8, 17, 18, 19]",Janet has number0 stickers . She gets number1 more from Ruth .,How many stickers does Janet have in all ?,,
There are number0 rulers in the drawer . Tim took number1 rulers from the drawer . How many rulers are now in the drawer ?,46.0 25.0,#NAME?,21,"[1, 2, 3, 9, 10, 11, 21, 22, 23]",There are number0 rulers in the drawer . Tim took number1 rulers from the drawer .,How many rulers are now in the drawer ?,,
"Mrs. Hilt went to a concert . A total of number0 people attended the concert . The next week , she went to a second concert , which had number1 more people in attendance . How many people were at the second concert ?",65899.0 119.0,#NAME?,66018,"[9, 10, 11, 28, 29, 30, 44, 45, 46]","Mrs. Hilt went to a concert . A total of number0 people attended the concert . The next week , she went to a second concert , which had number1 more people in attendance .",How many people were at the second concert ?,,
"Melanie , Benny , Sandy , and Jessica each have number0 dozen Pokemon cards . How many Pokemon cards do they have in all ?",9,* 4.0 * number0 12.0,432,"[7, 8, 9, 10, 8, 9, 10, 11, 9, 10, 11, 12]","Melanie , Benny , Sandy , and Jessica each have number0 dozen Pokemon cards .",How many Pokemon cards do they have in all ?,,
There are number0 apples in a box . Louise has number1 apples in a bag . Scott takes number2 apples out of the box . How many apples are left in the box ?,77.0 9.0 75.0,#NAME?,2,"[1, 2, 3, 9, 10, 11, 17, 18, 19, 30, 31, 32]",There are number0 apples in a box . Louise has number1 apples in a bag . Scott takes number2 apples out of the box .,How many apples are left in the box ?,,
"Shirley sold number0 boxes of Do - Si - Dos . How many cases of number1 boxes , plus extra boxes does Shirley need to deliver ?",20.0 4.0,/ number0 number1,5,"[1, 2, 3, 14, 15, 16, 23, 24, 25]",Shirley sold number0 boxes of Do - Si - Dos .,"How many cases of number1 boxes , plus extra boxes does Shirley need to deliver ?",,
"Tom has number0 violet balloons , he gave Fred number1 of the balloons . How many violet balloons does he now have ?",30.0 16.0,#NAME?,14,"[1, 2, 3, 8, 9, 10, 19, 20, 21]","Tom has number0 violet balloons , he gave Fred number1 of the balloons .",How many violet balloons does he now have ?,,
"Mike bought some toys . He bought marbles for $ number0 , a football for $ number1 , and spent $ number2 on a baseball . In total , how much did Mike spend on toys ?",9.05 4.95 6.52,#NAME?,20.52,"[9, 10, 11, 15, 16, 17, 20, 21, 22, 33, 34, 35]","Mike bought some toys . He bought marbles for $ number0 , a football for $ number1 , and spent $ number2 on a baseball . In total ,",how much did Mike spend on toys ?,,
Jason has number0 violet balloons and number1 red balloons . He lost number2 of the violet balloons . How many violet balloons does Jason have now ?,7.0 4.0 3.0,#NAME?,4,"[1, 2, 3, 5, 6, 7, 11, 12, 13, 23, 24, 25]",Jason has number0 violet balloons and number1 red balloons . He lost number2 of the violet balloons .,How many violet balloons does Jason have now ?,,
John weighs number0 pounds . Roy weighs number1 pounds . How much heavier is John than Roy ?,81.0 4.0,#NAME?,77,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",John weighs number0 pounds . Roy weighs number1 pounds .,How much heavier is John than Roy ?,,
There are number0 oranges . number1 oranges more are added . How many are there total ?,8.0 8.0,#NAME?,16,"[1, 2, 3, 4, 5, 6, 13, 14, 15]",There are number0 oranges . number1 oranges more are added .,How many are there total ?,,
"Olivia uploaded number0 pictures from her phone and number1 from her camera to facebook . If she sorted the pics into number2 different albums with the same amount of pics in each album , how many pictures were in each of the albums ?",5.0 35.0 8.0,/ + number0 number1 number2,5,"[1, 2, 3, 7, 8, 9, 20, 21, 22, 40, 41, 42]","Olivia uploaded number0 pictures from her phone and number1 from her camera to facebook . If she sorted the pics into number2 different albums with the same amount of pics in each album ,",how many pictures were in each of the albums ?,,
number0 birds were sitting on the fence . number1 more birds came to join them . How many birds are sitting on the fence ?,2.0 4.0,#NAME?,6,"[0, 1, 7, 8, 9, 21, 22, 23]",number0 birds were sitting on the fence . number1 more birds came to join them .,How many birds are sitting on the fence ?,,
"Luke was putting his spare change into piles . He had number0 piles of quarters and number1 piles of dimes . If each pile had number2 coins in it , how many coins did he have total ?",5.0 5.0 3.0,* number2 + number0 number0,30,"[10, 11, 12, 15, 16, 17, 24, 25, 26, 34, 35, 36]","Luke was putting his spare change into piles . He had number0 piles of quarters and number1 piles of dimes . If each pile had number2 coins in it ,",how many coins did he have total ?,,
Ethan has number0 presents . Alissa has number1 more than Ethan . How many presents does Alissa have ?,31.0 22.0,#NAME?,53,"[1, 2, 3, 6, 7, 8, 15, 16, 17]",Ethan has number0 presents . Alissa has number1 more than Ethan .,How many presents does Alissa have ?,,
"Luke had number0 pieces of clothing to wash . He put number1 of them in one load , but decided to split the rest into number2 equal loads . How many pieces of clothing could go in each of the small loads ?",47.0 17.0 5.0,/ - number0 number1 number2,6,"[1, 2, 3, 10, 11, 12, 24, 25, 26, 39, 40, 41]","Luke had number0 pieces of clothing to wash . He put number1 of them in one load , but decided to split the rest into number2 equal loads .",How many pieces of clothing could go in each of the small loads ?,,
"Tiffany had number0 pages of math homework and number1 pages of reading homework . If each page had number2 problems on it , how many problems did she have to complete total ?",6.0 4.0 3.0,* number2 + number0 number1,30,"[1, 2, 3, 7, 8, 9, 17, 18, 19, 29, 30, 31]","Tiffany had number0 pages of math homework and number1 pages of reading homework . If each page had number2 problems on it ,",how many problems did she have to complete total ?,,
"If there are number0 bottle caps in a box and Linda puts number1 more bottle caps inside , how many bottle caps are in the box ?",7.0 7.0,#NAME?,14,"[2, 3, 4, 11, 12, 13, 23, 24, 25]","If there are number0 bottle caps in a box and Linda puts number1 more bottle caps inside ,",how many bottle caps are in the box ?,,
Nancy was planting vegetables in her garden . She started with number0 seeds and planted number1 of them in the big garden and in each of her small gardens put number2 seeds each . How many small gardens did Nancy have ?,52.0 28.0 4.0,/ - number0 number1 number2,6,"[10, 11, 12, 14, 15, 16, 29, 30, 31, 38, 39, 40]",Nancy was planting vegetables in her garden . She started with number0 seeds and planted number1 of them in the big garden and in each of her small gardens put number2 seeds each .,How many small gardens did Nancy have ?,,
"Fred loves trading cards . He bought number0 packs of football cards for $ number1 each , a pack of Pokemon cards for $ number2 , and a deck of baseball cards for $ number3 . How much did Fred spend on cards ?",2.0 2.73 4.01 8.95,+ + * number0 number1 number2 number3,18.42,"[6, 7, 8, 13, 14, 15, 23, 24, 25, 33, 34, 35, 40, 41, 42]","Fred loves trading cards . He bought number0 packs of football cards for $ number1 each , a pack of Pokemon cards for $ number2 , and a deck of baseball cards for $ number3 .",How much did Fred spend on cards ?,,
"Harry Hound had a terrible earache yesterday . When I peered into his ears yesterday , I found number0 frisky fleas having a party in his right ear and number1 baby fleas sleeping peacefully in his left ear . I cleaned out Harry Hound 's ears . How many fleas perished ?",36.0 85.0,#NAME?,121,"[17, 18, 19, 28, 29, 30, 48, 49, 50]","Harry Hound had a terrible earache yesterday . When I peered into his ears yesterday , I found number0 frisky fleas having a party in his right ear and number1 baby fleas sleeping peacefully in his left ear . I cleaned out Harry Hound 's ears .",How many fleas perished ?,,
Donald has number0 oranges . He finds another number1 . How many oranges does Donald have in all ?,4.0 5.0,#NAME?,9,"[1, 2, 3, 7, 8, 9, 15, 16, 17]",Donald has number0 oranges . He finds another number1 .,How many oranges does Donald have in all ?,,
William has number0 bottle caps . He buys number1 more . How many bottle caps does William have in all ?,2.0 41.0,#NAME?,43,"[1, 2, 3, 7, 8, 9, 17, 18, 19]",William has number0 bottle caps . He buys number1 more .,How many bottle caps does William have in all ?,,
There are number0 crayons in the drawer . Mary took number1 crayons out of the drawer . How many crayons are there now ?,7.0 3.0,#NAME?,4,"[1, 2, 3, 9, 10, 11, 20, 21, 22]",There are number0 crayons in the drawer . Mary took number1 crayons out of the drawer .,How many crayons are there now ?,,
Gordon bought number0 pounds of fruit for a class party . The class ate number1 pounds of the fruit . How much fruit is ?,3.42 2.2,#NAME?,1.22,"[1, 2, 3, 13, 14, 15, 21, 22, 23]",Gordon bought number0 pounds of fruit for a class party . The class ate number1 pounds of the fruit .,How much fruit is ?,,
Alyssa picked number0 pears and Nancy picked number1 pears from the pear tree . How many pears were picked in all ?,42.0 17.0,#NAME?,59,"[1, 2, 3, 6, 7, 8, 18, 19, 20]",Alyssa picked number0 pears and Nancy picked number1 pears from the pear tree .,How many pears were picked in all ?,,
"At the arcade Edward won number0 tickets . If he spent number1 tickets on a beanie and later won number2 more tickets , how many would he have ?",9.0 4.0 4.0,#NAME?,9,"[4, 5, 6, 10, 11, 12, 18, 19, 20, 25, 26, 27]","At the arcade Edward won number0 tickets . If he spent number1 tickets on a beanie and later won number2 more tickets ,",how many would he have ?,,
"While shopping , Emily bought number0 green towels and number1 white towels . If she gave her mother number2 of them , how many towels did Emily end up with ?",5.0 30.0 26.0,#NAME?,9,"[4, 5, 6, 8, 9, 10, 17, 18, 19, 27, 28, 29]","While shopping , Emily bought number0 green towels and number1 white towels . If she gave her mother number2 of them ,",how many towels did Emily end up with ?,,
"A teacher had number0 worksheets to grade . If she graded number1 , but then another number2 were turned in , how many worksheets would she have to grade ?",6.0 4.0 18.0,#NAME?,20,"[2, 3, 4, 10, 11, 12, 15, 16, 17, 26, 27, 28]","A teacher had number0 worksheets to grade . If she graded number1 , but then another number2 were turned in ,",how many worksheets would she have to grade ?,,
Tim has number0 dozen golf balls . How many golf balls does he have ?,13,* number0 12.0,156,"[1, 2, 3, 11, 12, 13]",Tim has number0 dozen golf balls .,How many golf balls does he have ?,,
"Last year at Newberg 's airport , number0 passengers landed on time . Unfortunately , number1 passengers landed late . In all , how many passengers landed in Newberg last year ?",14507.0 213.0,#NAME?,14720,"[6, 7, 8, 14, 15, 16, 28, 29, 30]","Last year at Newberg 's airport , number0 passengers landed on time . Unfortunately , number1 passengers landed late . In all ,",how many passengers landed in Newberg last year ?,,
"One recipe calls for number0 teaspoon vanilla , and a second recipe requires for number1 teaspoon vanilla , and a third recipe calls for number2 teaspoon vanilla . How much vanilla is required to make all number3 recipes , in teaspoons ?",0.25 0.5 0.125 3.0,#NAME?,0.875,"[3, 4, 5, 13, 14, 15, 23, 24, 25, 35, 36, 37, 38, 39, 40]","One recipe calls for number0 teaspoon vanilla , and a second recipe requires for number1 teaspoon vanilla , and a third recipe calls for number2 teaspoon vanilla .","How much vanilla is required to make all number3 recipes , in teaspoons ?",,
"Fred earns $ number0 an hour cleaning houses . If he works for number1 hours , how much money will he make ?",12.5 8.0,* number0 number1,100,"[2, 3, 4, 12, 13, 14, 19, 20, 21]","Fred earns $ number0 an hour cleaning houses . If he works for number1 hours ,",how much money will he make ?,,
Dan picked number0 limes and gave Sara number1 of the limes . How many limes does Dan have now ?,9.0 4.0,#NAME?,5,"[1, 2, 3, 6, 7, 8, 18, 19, 20]",Dan picked number0 limes and gave Sara number1 of the limes .,How many limes does Dan have now ?,,
"Joan joined her school 's band . She bought a trumpet for $ number0 , a music tool for $ number1 , and a song book which was $ number2 . Joan found $ number3 in her pocket . How much did Joan spend at the music store ?",149.16 9.98 4.14 8.65,#NAME?,163.28,"[12, 13, 14, 19, 20, 21, 28, 29, 30, 33, 34, 35, 45, 46, 47]","Joan joined her school 's band . She bought a trumpet for $ number0 , a music tool for $ number1 , and a song book which was $ number2 . Joan found $ number3 in her pocket .",How much did Joan spend at the music store ?,,
"Mary found number0 seashells , Melanie found number1 seashells , and Jason found number2 seashells on the beach . When they cleaned them , they discovered that number3 were cracked . How many seashells did they find together ?",45.0 23.0 32.0 31.0,#NAME?,100,"[1, 2, 3, 6, 7, 8, 12, 13, 14, 26, 27, 28, 35, 36, 37]","Mary found number0 seashells , Melanie found number1 seashells , and Jason found number2 seashells on the beach . When they cleaned them , they discovered that number3 were cracked .",How many seashells did they find together ?,,
"Shannon and her family use up a lot of strawberry and blueberry jelly , since they eat toast every morning . At the moment , they have a combined total of number0 grams of jelly . If they have number1 grams of blueberry jelly , how many grams of strawberry jelly do they have ?",6310.0 4518.0,#NAME?,1792,"[30, 31, 32, 38, 39, 40, 51, 52, 53]","Shannon and her family use up a lot of strawberry and blueberry jelly , since they eat toast every morning . At the moment , they have a combined total of number0 grams of jelly . If they have number1 grams of blueberry jelly ,",how many grams of strawberry jelly do they have ?,,
"Will had number0 pieces of clothing to wash . He put number1 of them in one load , but decided to split the rest into number2 equal loads . How many pieces of clothing could go in each of the small loads ?",59.0 32.0 9.0,/ - number0 number1 number2,3,"[1, 2, 3, 10, 11, 12, 24, 25, 26, 39, 40, 41]","Will had number0 pieces of clothing to wash . He put number1 of them in one load , but decided to split the rest into number2 equal loads .",How many pieces of clothing could go in each of the small loads ?,,
Brenda has number0 apples . She gets number1 more from Willie . How many apples does Brenda have in all ?,34.0 37.0,#NAME?,71,"[1, 2, 3, 6, 7, 8, 17, 18, 19]",Brenda has number0 apples . She gets number1 more from Willie .,How many apples does Brenda have in all ?,,
"There are number0 students in the class and number1 apples . If the apples are divided equally among the students , how many does each student get ?",7.0 42.0,/ number1 number0,6,"[1, 2, 3, 7, 8, 9, 24, 25, 26]","There are number0 students in the class and number1 apples . If the apples are divided equally among the students ,",how many does each student get ?,,
"There are number0 students in the class and number1 tickets . If the tickets are divided equally among the students , how many does each student get ?",9.0 81.0,/ number1 number0,9,"[1, 2, 3, 7, 8, 9, 24, 25, 26]","There are number0 students in the class and number1 tickets . If the tickets are divided equally among the students ,",how many does each student get ?,,
Daniel had some noodles . He gave number0 noodles to William . Now Daniel only has number1 noodles . How many noodles did Daniel have to begin with ?,12.0 54.0,#NAME?,66,"[6, 7, 8, 15, 16, 17, 25, 26, 27]",Daniel had some noodles . He gave number0 noodles to William . Now Daniel only has number1 noodles .,How many noodles did Daniel have to begin with ?,,
There are number0 popular trees currently in the park . Park workers will plant number1 popular trees today . How many popular trees will the park have when the workers are finished ?,25.0 73.0,#NAME?,98,"[1, 2, 3, 13, 14, 15, 29, 30, 31]",There are number0 popular trees currently in the park . Park workers will plant number1 popular trees today .,How many popular trees will the park have when the workers are finished ?,,
Jason has number0 Pokemon cards . Alyssa bought number1 of Jason 's Pokemon cards . How many Pokemon cards does Jason have now ?,676.0 224.0,#NAME?,452,"[1, 2, 3, 7, 8, 9, 20, 21, 22]",Jason has number0 Pokemon cards . Alyssa bought number1 of Jason 's Pokemon cards .,How many Pokemon cards does Jason have now ?,,
Mary ’ s mom is getting ready for Mary ’ s birthday party . She blew up number0 balloons this morning and number1 balloons this afternoon . How many balloons did she blow up in all ?,6.0 5.0,#NAME?,11,"[14, 15, 16, 19, 20, 21, 33, 34, 35]",Mary ’ s mom is getting ready for Mary ’ s birthday party . She blew up number0 balloons this morning and number1 balloons this afternoon .,How many balloons did she blow up in all ?,,
Jessica had number0 quarters in her bank . Her sister borrowed number1 of her quarters . How many quarters does Jessica have now ?,8.0 3.0,#NAME?,5,"[1, 2, 3, 10, 11, 12, 20, 21, 22]",Jessica had number0 quarters in her bank . Her sister borrowed number1 of her quarters .,How many quarters does Jessica have now ?,,
What is number0 % of number1 ?,395.0 791.0,* * number0 0.01 number1,3124.45,"[1, 2, 3, 4, 5, 6, 3, 4, 5]",,What is number0 % of number1 ?,,
"If Karen sold number0 boxes of Tagalongs , how many cases of number1 boxes does Karen pickup from the cookie mom ?",36.0 12.0,/ number0 number1,3,"[2, 3, 4, 11, 12, 13, 18, 19, 20]","If Karen sold number0 boxes of Tagalongs ,",how many cases of number1 boxes does Karen pickup from the cookie mom ?,,
Ronald has number0 blocks . Martha has with number1 blocks . Martha finds another number2 . How many blocks does Martha end with ?,13.0 4.0 80.0,#NAME?,84,"[1, 2, 3, 7, 8, 9, 13, 14, 15, 20, 21, 22]",Ronald has number0 blocks . Martha has with number1 blocks . Martha finds another number2 .,How many blocks does Martha end with ?,,
"A book store had number0 books in the bargin bin . If they sold number1 books , but then put number2 more in the bin , how many books would be in the bin ?",41.0 33.0 2.0,#NAME?,10,"[3, 4, 5, 13, 14, 15, 19, 20, 21, 31, 32, 33]","A book store had number0 books in the bargin bin . If they sold number1 books , but then put number2 more in the bin ,",how many books would be in the bin ?,,
"In one week , an airplane pilot flew number0 miles on Tuesday and number1 miles on Thursday . If the pilot flies the same number of miles number2 weeks in a row , how many miles does the pilot fly in all ?",1134.0 1475.0 3.0,* number2 + number0 number1,7827,"[7, 8, 9, 12, 13, 14, 26, 27, 28, 39, 40, 41]","In one week , an airplane pilot flew number0 miles on Tuesday and number1 miles on Thursday . If the pilot flies the same number of miles number2 weeks in a row ,",how many miles does the pilot fly in all ?,,
A number0 ounce can of cranberry juice sells for number1 cents . Give the unit cost in cents per ounce .,12.0 84.0,/ number1 number0,7,"[0, 1, 2, 8, 9, 10, 17, 18, 19]",A number0 ounce can of cranberry juice sells for number1 cents .,Give the unit cost in cents per ounce .,,
"If Harold split number0 apples between number1 people in her class and kept the left overs , how many apples did each classmate get ?",15.0 3.0,/ number0 number1,5,"[2, 3, 4, 5, 6, 7, 21, 22, 23]","If Harold split number0 apples between number1 people in her class and kept the left overs ,",how many apples did each classmate get ?,,
There are number0 dogwood trees currently in the park . Park workers will plant number1 more dogwood trees today . How many dogwood trees will the park have when the workers are finished ?,34.0 49.0,#NAME?,83,"[1, 2, 3, 15, 16, 17, 32, 33, 34]",There are number0 dogwood trees currently in the park . Park workers will plant number1 more dogwood trees today .,How many dogwood trees will the park have when the workers are finished ?,,
"Tony had $ number0 . Tony paid $ number1 for a ticket to a baseball game . At the game , Tony bought a hot dog for $ number2 . What amount of money did Tony have then ?",20.0 8.0 3.0,#NAME?,9,"[2, 3, 4, 7, 8, 9, 27, 28, 29, 35, 36, 37]","Tony had $ number0 . Tony paid $ number1 for a ticket to a baseball game . At the game , Tony bought a hot dog for $ number2 .",What amount of money did Tony have then ?,,
"The cost of number0 feet of chain is number1 dollars , what length of chain can be purchased with number2 dollars ?",5.0 2.0 7.5,* / number2 number1 number0,18.75,"[2, 3, 4, 7, 8, 9, 18, 19, 20, 18, 19, 20]","The cost of number0 feet of chain is number1 dollars ,",what length of chain can be purchased with number2 dollars ?,,
Nancy has saved number0 cents from selling lemonade . How many dollars does Nancy have ?,4900,/ number0 100.0,49,"[2, 3, 4, 14, 15, 16]",Nancy has saved number0 cents from selling lemonade .,How many dollars does Nancy have ?,,
"Paul made number0 dollars mowing lawns and number1 dollars weed eating . If he only spent number2 dollar a week , how long would the money last him ?",3.0 3.0 3.0,/ + number0 number0 number0,2,"[1, 2, 3, 6, 7, 8, 15, 16, 17, 25, 26, 27]","Paul made number0 dollars mowing lawns and number1 dollars weed eating . If he only spent number2 dollar a week ,",how long would the money last him ?,,
