Problem,annotated_formula
"p is able to do a piece of work in number0 days and q can do the same work in number1 days . if they can work together for number2 days , what is the fraction of work left ?","-(1, *(+(/(1, number1), /(1, number0)), number2))"
"excluding stoppages , the speed of a train is number0 kmph and including stoppages it is number1 kmph . of how many minutes does the train stop per hour ?","-(60, *(60, /(number1, number0)))"
a number0 m long train running at the speed of number1 km / hr crosses another train running in opposite direction at the speed of number2 km / hr in number3 sec . what is the length of the other train ?,"-(*(*(+(number1, number2), 0.2778), number3), number0)"
a train running at the speed of number0 km / hr crosses a pole in number1 sec . what is the length of the train ?,"*(/(*(number0, 1000), 3600), number1)"
"excluding stoppages , the speed of a train is number0 kmph and including stoppages it is number1 kmph . of how many minutes does the train stop per hour ?","-(60, *(60, /(number1, number0)))"
"working at their respective constant rates , machine a makes number0 copies in number1 minutes and machine b makes number2 copies in number3 minutes . if these machines work simultaneously at their respective rates for number4 minutes , what is the total number of copies that they will produce ?","*(+(/(number0, number1), /(number2, number3)), number4)"
a car gets number0 kilometers per gallon of gasoline . how many gallons of gasoline would the car need to travel number1 kilometers ?,"/(number1, number0)"
"cole drove from home to work at an average speed of number0 kmh . he then returned home at an average speed of number1 kmh . if the round trip took a total of number2 hours , how many minutes did it take cole to drive to work ?","*(/(*(number1, number2), +(number0, number1)), 60)"
"if the population of a certain country increases at the rate of one person every number0 seconds , by how many persons does the population increase in number1 minutes ?","*(/(60, number0), number1)"
two trains of length number0 m and number1 m are running towards each other on parallel lines at number2 kmph and number3 kmph respectively . in what time will they be clear of each other from the moment they meet ?,"/(+(number0, number1), *(+(number2, number3), 0.2778))"
"in an examination , a student scores number0 marks for every correct answer and loses number1 marks for every wrong answer . if he attempts all number2 questions and secures number3 marks , the number of questions he attempts correctly , is :","/(+(number3, number2), +(number0, number1))"
"points a , b , c , and d , in that order , lie on a line . if ab = number0 cm , ac = number1 cm , and bd = number2 cm , what is cd , in centimeters ?","-(number1, number0)"
"robert is travelling on his cycle andhas calculated to reach point a at number0 pm . if he travels at number1 kmph , he will reach there at number2 pm if he travels at number3 kmph . at what speed musthe travel to reach a at number4 pm ?","/(/(number0, -(/(number4, number1), /(number4, number3))), -(/(/(number0, -(/(number4, number1), /(number4, number3))), number1), number4))"
"sheila works number0 hours per day on monday , wednesday and friday , and number1 hours per day on tuesday and thursday . she does not work on saturday and sunday . she earns $ number2 per week . how much does she earn in dollars per hour ?","/(number2, +(*(number0, 3), *(number1, 2)))"
a can run number0 times as fast as b and gives b a start of number1 m . how long should the race course be so that a and b might reach in the same time ?,"+(*(number0, /(/(number1, number0), -(number0, 1))), number1)"
a and b go around a circular track of length number0 m on a cycle at speeds of number1 kmph and number2 kmph . after how much time will they meet for the first time at the starting point ?,"/(number0, -(*(number2, 0.2778), *(number1, 0.2778)))"
"the length of a rectangular plot is number0 metres more than its breadth . if the cost of fencing the plot @ rs . number1.number2 per metre is rs . number3 , what is the length of the plot in metres ?","-(/(/(number3, number1.number2), 2), *(2, number0))"
what is the greatest of number0 consecutive integers whose sum is number1 ?,"+(/(-(number1, number0), number0), 2)"
"xavier starts from p towards q at a speed of number0 kmph and after every number1 mins increases his speed by number2 kmph . if the distance between p and q is number0 km , then how much time does he take to cover the distance ?","+(+(+(number1, number1), number1), number1)"
a truck covers a distance of number0 metres in number1 minute whereas a bus covers a distance of number2 kms in number3 minutes . the ratio of their speeds is ?,"/(number0, *(/(number2, number3), 1000))"
two concentric circles form a ring . the inner and outer circumference of the ring are number0 / number1 m and number2 / number1 m respectively . find the width of the ring .,"-(/(/(/(number2, number1), 2), 3.141592653589793), /(/(/(number0, number1), 2), 3.141592653589793))"
"a certain electric - company plan offers customers reduced rates for electricity used between number0 p . m . and number0 a . m . weekdays and number1 hours a day saturdays and sundays . under this plan , the reduced rates w apply to what fraction of a week ?","/(+(*(/(number1, 2), +(2, 3)), *(number1, 2)), *(number1, +(3, 4)))"
the sum of two consecutive number is number0 . which is the larger number ?,"+(+(^(+(+(/(-(-(number0, 10), 2), 4), 2), 2), 2), ^(+(+(+(/(-(-(number0, 10), 2), 4), 2), 2), 2), 2)), +(^(/(-(-(number0, 10), 2), 4), 2), ^(+(/(-(-(number0, 10), 2), 4), 2), 2)))"
"three pipes a , b and c can fill a tank from empty to full in number0 minutes , number0 minutes and number1 minutes respectively . when the tank is empty , all the three pipes are opened . a , b and c discharge chemical solutions p , q and r respectively . what is the proportion of solution p in the liquid in the tank after number2 minutes ?","*(/(number2, number1), /(1, *(number2, +(/(1, number1), +(/(1, number0), /(1, number0))))))"
the lcm of two numbers is number0 and hcf is number1 . if one of the numbers is number2 . then what is the other number ?,"/(*(number0, number1), number2)"
"fred and sam are standing number0 miles apart and they start walking in a straight line toward each other at the same time . if fred walks at a constant speed of number1 miles per hour and sam walks at a constant speed of number2 miles per hour , how many miles has sam walked when they meet ?","*(number2, /(number0, +(number1, number2)))"
"calculate the number of urns of water needed to fill a tank of dimensions of number0 x number0 x number1 m to number2 % full , if the volume of the urn is number3.number4 m number5 and can only be filled to number6 % .","/(/(*(*(*(number0, number0), number1), number2), 100), /(*(number3.number4, number6), 100))"
a tank can be filled by two pipes a and b in number0 minutes and number1 minutes respectively . how many minutes will it take to fill the tank from empty state if b is used for the first half time and then a and b fill it together for the other half .,"/(*(*(number1, 3), 2), +(4, 4))"
"it is the new year and mandy has made a resolution to lose weight this year . she plans to exercise and do yoga . for exercise she plans to workout at the gym and ride her bicycle in the ratio of number0 : number1 everyday . she will also do yoga in the ratio , yoga : exercise = number0 : number1 . if she rides her bike for number2 minutes , how much time will she spend doing yoga ? ( rounded to minutes )","/(*(number2, /(number1, +(number0, number1))), *(/(number1, +(number0, number1)), /(number1, +(number0, number1))))"
a train requires number0 seconds to pass a pole while it requires number1 seconds to cross a stationary train which is number2 mtrs long . find the speed of the train .,"*(/(number2, -(number1, number0)), 3_6)"
"two pipes p and q can fill a cistern in number0 and number1 minutes respectively . both are opened together , but at the end of number2 minutes the first is turned off . how much longer will the cistern take to fill ?","*(-(1, *(+(/(1, number0), /(1, number1)), number2)), number1)"
"a can complete a project in number0 days and b can complete the same project in number0 days . if a and b start working on the project together and a quits number1 days before the project is completed , in how many days will the project be completed ?","+(/(-(1, *(/(1, number0), number1)), +(/(1, number0), /(1, number0))), number1)"
"a work crew of number0 men takes number1 days to complete one - half of a job . if number2 men are then added to the crew and the men continue to work at the same rate , how many days will it take the enlarged crew to do the rest of the job ?","+(number1, /(*(number0, number1), +(number0, number2)))"
a train number0 meters long takes number1 seconds to cross a man walking at number2 kmph in the direction opposite to that of the train . find the speed of the train .,"-(/(number0, *(number1, 0.2778)), number2)"
a number0 meter long train crosses a man standing on the platform in number1 sec . what is the speed of the train ?,"*(/(number0, number1), 3_6)"
number0 women can do number1 unit of work in number2 days by working number3 hr / day in how many days number4 women do number5 units of work by working number2 hr / day,"/(number5, *(*(/(/(/(number1, number0), number2), number3), number2), number4))"
"a train can travel number0 % faster than a car . both start from point a at the same time and reach point b at number1 kms away from a at the same time . on the way , however , the train lost about number2.number3 minutes while stopping at the stations . the speed of the car is ?","/(*(-(*(number2.number3, 2), 1), *(number2.number3, 2)), +(4, 1))"
"tom traveled the entire number0 miles trip . if he did the first number1 miles of at a constant rate number2 miles per hour and the remaining trip of at a constant rate number3 miles per hour , what is the his average speed , in miles per hour ?","/(number0, +(/(number3, -(number0, number1)), /(number1, number2)))"
"a train number0 m long passes a man , running at number1 km / hr in the same direction in which the train is going , in number2 seconds . the speed of the train is :","/(/(-(number0, *(*(number1, 0.2778), number1)), number1), 0.2778)"
"if number0 men can build a wall number1 metres long in number2 days , what length of a similar can be built by number3 men in number4 days ?","*(number1, /(*(number3, number4), *(number0, number2)))"
"what is the cost of leveling the field in the form of parallelogram at the rate of rs . number0 / number1 sq . metre , whose base & perpendicular distance from the other side being number2 m & number3 m respectively ?","*(*(number2, number3), /(number0, number1))"
a work which could be finished in number0 days was finished number1 days earlier after number2 more men joined . the number of men employed was ?,"/(*(*(number1, 2), number2), -(number0, *(number1, 2)))"
a bicycle wheel has a diameter of number0.number1 m . how many complete revolutions does it make in number2 km ?,"/(*(1000, number2), *(+(3, /(+(*(3, 4), 2), ^(+(*(4, 2), 2), 2))), number0.number1))"
a trader sells number0 meters of cloth for rs . number1 at the profit of rs . number2 per metre of cloth . what is the cost price of one metre of cloth ?,"-(/(number1, number0), number2)"
a student completes a number0 part exam as follows . the student completes sections a in number1 minutes and takes an equal time to complete the two remaining sections . what is the ratio of time spent on section c to section a if the total duration is number2 hour ?,"/(3, 4)"
"a cistern is filled by a tap in number0 number1 / number2 hours . due to leak in the bottom of the cistern , it takes half an hour longer to fill the cistern . if the cistern is full how long will it take the leak to empty it ?","/(1, -(/(1, +(number0, /(number1, number2))), /(number1, 4)))"
"car x began traveling at an average speed of number0 miles per hour . after number1 minutes , car y began traveling at an average speed of number2 miles per hour . when both cars had traveled the same distance , both cars stopped . how many miles did car x travel from the time car y began traveling until both cars stopped ?","*(number0, /(*(/(number1, 60), number0), -(number2, number0)))"
"jerry travels number0 miles at an average speed of number1 miles per hour , stops for number2 minutes , and then travels another number3 miles at an average speed of number4 miles per hour . what is jerry ’ s average speed , in miles per hour , for this trip ?","/(+(number0, number3), +(+(/(number0, number1), /(number2, 60)), /(number3, number4)))"
a car takes number0 hours to cover a distance of number1 km . how much should the speed in kmph be maintained to cover the same direction in number2 / number3 th of the previous time ?,"/(number1, /(*(number0, number2), number3))"
"a person started from point a to point b and returned back to a with a speed of number0 kmh . if the distance between a and b is number1 km , calculate the time he travelled","/(*(number1, 2), number0)"
"the megatek corporation is displaying its distribution of employees by department in a circle graph . the size of each sector of the graph representing a department is proportional to the percentage of total employees in that department . if the section of the circle graph representing the manufacturing department takes up number0 ° of the circle , what percentage of megatek employees are in manufacturing ?","*(/(number0, /(3600, 10)), 100)"
a train speeds past a pole in number0 seconds and a platfrom number1 m long in number2 seconds . its length is :,"*(number1, -(2, 1))"
"before leaving home for the town of madison , pete checks a map which shows that madison is number0 inches from his current location , gardensquare . pete arrives in madison number1.number0 hours later and drove at an average speed of number2 miles per hour . at what scale , in inches per mile , is the map drawn ?","/(1, *(/(number1.number0, number0), number2))"
"number0 men took a dip in a water tank number1 m long and number2 m broad on a religious day . if the average displacement of water by a man is number3 m number4 , then the rise in the water level in the tank will be :","/(*(number3, number0), *(number1, number2))"
"a tank can supply water to a village for number0 days . if a leak at the bottom of the tank drains out number1 liters per day , the supply lasts for number2 days only . for how many days will the supply last if the leak drains out number2 liters per day ?","/(*(/(*(number1, number2), -(number0, number2)), number0), +(number2, /(*(number1, number2), -(number0, number2))))"
a room of number0 m number1 cm long and number2 m number3 cm broad is to be paved with square tiles . find the least number of square tiles required to cover the floor .,"/(*(+(*(number0, 100), number1), +(*(number2, 100), number3)), ^(/(+(*(number0, 100), number1), ^(2, 4)), 2))"
"how many times in a day , the hands of a clock are shows opposite directions ?","/(-(*(2, *(2, 12)), 4), 2)"
a man complete a journey in number0 hours . he travels first half of the journey at the rate of number1 km / hr and second half at the rate of number2 km / hr . find the total journey in km .,"*(2, /(*(*(number1, number2), number0), +(number1, number2)))"
a train number0 m long is running with a speed of number1 kmph . in what time will it pass a man who is running at number2 kmph in the direction opposite to that in which the train is going ?,"*(/(/(number0, 1000), -(number1, number2)), 3600)"
a train number0 m long takes number1 sec to cross a man walking at number2 kmph in a direction opposite to that of the train . find the speed of the train ?,"-(/(/(number0, number1), 0.2778), number2)"
"the amount of time that three people worked on a special project was in the ratio of number0 to number1 to number2 . if the project took number3 hours , how many more hours did the hardest working person work than the person who worked the least ?","-(*(/(number3, +(+(number0, number1), number2)), number2), *(/(number3, +(+(number0, number1), number2)), number0))"
"a fill pipe can fill number0 / number1 of cistern in number2 minutes in how many minutes , it can fill number3 / number1 of the cistern ?","/(number2, number0)"
"a garrison of number0 men has provisions for number1 days . at the end of number2 days , a reinforcement arrives , and it is now found that the provisions will last only for number3 days more . what is the reinforcement ?","-(/(-(*(number0, number1), *(number0, number2)), number3), number0)"
"if the speed of a man is number0 km per hour , then what is the distance traveled by him in number1 seconds ?","*(*(number0, 0.2778), number1)"
express number0 mps in kmph ?,"*(/(number0, 1000), 3600)"
"a boat can travel with a speed of number0 km / hr in still water . if the speed of the stream is number1 km / hr , find the time taken by the boat to go number2 km downstream .","/(number2, +(number0, number1))"
number0 : number1 seconds : : ? : number2 minutes,"*(number2, /(number0, number1))"
"working together , printer a and printer b would finish the task in number0 minutes . printer a alone would finish the task in number1 minutes . how many pages does the task contain if printer b prints number2 pages a minute more than printer a ?","*(/(number2, -(/(number1, number0), 1)), number1)"
a tank can be filled by two pipes a and b in number0 minutes and number1 minutes respectively . how many minutes will it take to fill the tank from empty state if b is used for the first half time and then a and b fill it together for the other half,"/(*(*(number1, 3), 2), +(4, 4))"
the diameter of a garden roller is number0.number1 m and it is number2 m long . how much area will it cover in number1 revolutions ? ( use ï € = number3 â  „ number4 ),"*(number1, *(*(*(number2, /(number3, number4)), /(number0.number1, number2)), number2))"
"a train crosses a platform of number0 m in number1 sec , same train crosses another platform of length number2 m in number3 sec . then find the length of the train ?","-(*(number2, /(number1, /(number1, 3))), *(number0, /(number3, /(number1, 3))))"
"a train , number0 meters long travels at a speed of number1 km / hr crosses a bridge in number2 seconds . the length of the bridge is","-(*(*(number1, 0.2778), number2), number0)"
"a car traveling at a certain constant speed takes number0 seconds longer to travel number1 kilometer than it would take to travel number1 kilometer at number2 kilometers per hour . at what speed , in kilometers per hour , is the car traveling ?","/(number1, /(+(*(3600, /(number1, number2)), number0), 3600))"
what is the maximum number of pieces of birthday cake of size number0 ” by number0 ” that can be cut from a cake number1 ” by number1 ” ?,"/(*(number1, number1), *(number0, number0))"
"a train covers a distance of number0 km in number1 min . if it takes number2 sec to pass a telegraph post , then the length of the train is ?","/(number0, -(/(number0, number1), number2))"
number0 . a number1 m long train crosses a platform of equal length in number2 s . what is the speed of the train in km / h ?,"*(/(*(2, number1), number2), /(3600, 1000))"
the speed of a boat in still water is number0 km / hr and the rate of current is number1 km / hr . the distance travelled downstream in number2 minutes is :,"*(/(number2, 60), +(number0, number1))"
what is the least number of square tiles required to pave the floor of a room number0 m 00 cm long and number2 m number3 cm broad ?,"/(*(+(*(number2, 100), number3), *(number0, 100)), ^(number3, 2))"
"a metal company ' s old machine makes bolts at a constant rate of number0 bolts per hour . the company ' s new machine makes bolts at a constant rate of number1 bolts per hour . if both machines start at the same time and continue making bolts simultaneously , how many minutes will it take the two machines to make a total of number2 bolts ?","/(number2, +(/(number0, 60), /(number1, 60)))"
"a can do a piece of work in number0 days , and b can do it in number1 days . if c , who can do the work in number2 days , joins them , how long will they take to complete the work ?","/(1, +(/(1, number2), +(/(1, number0), /(1, number1))))"
"tom , working alone , can paint a room in number0 hours . peter and john , working independently , can paint the same room in number1 hours and number2 hours , respectively . tom starts painting the room and works on his own for one hour . he is then joined by peter and they work together for an hour . finally , john joins them and the three of them work together to finish the room , each one working at his respective rate . what fraction of the whole job was done by peter ?","/(4, +(*(4, number2), 1))"
"if the population of a certain country increases at the rate of one person every number0 seconds , by how many persons does the population increase in number1 hour ?","*(/(60, number0), number1)"
"a car traveling at a certain constant speed takes number0 seconds longer to travel number1 kilometer than it would take to travel number1 kilometer at number2 kilometers per hour . at what speed , in kilometers per hour , is the car traveling ?","/(number1, /(+(*(3600, /(number1, number2)), number0), 3600))"
"the speed at which a woman can row a boat in still water is number0 kmph . if he rows downstream , where the speed of current is number1 kmph , what time will he take to cover number2 metres ?","/(number2, *(+(number0, number1), 0.2778))"
the speed of a boat in still water in number0 km / hr and the rate of current is number1 km / hr . the distance travelled downstream in number2 minutes is :,"*(+(number0, number1), /(number2, 60))"
"on a scale of map , number0.number1 cm represent number1.number1 km . if the distance between the points on the map is number2.number3 cm , the actual distance between these points is :","/(*(number2.number3, number1.number1), number0.number1)"
"donovan and michael are racing around a circular number0 - meter track . if donovan runs each lap in number1 seconds and michael runs each lap in number2 seconds , how many laps will michael have to complete in order to pass donovan , assuming they start at the same time ?","/(/(number0, -(/(number0, number2), /(number0, number1))), number2)"
a cistern number0 m long and number1 m wide contains water up to a breadth of number2 m number3 cm . find the total area of the wet surface .,"+(*(2, +(*(+(/(number3, 100), number2), number1), *(+(/(number3, 100), number2), number0))), *(number1, number0))"
a can do a piece of work in number0 days . b can do it in number0 days . with the assistance of c they completed the work in number1 days . find in how many days can c alone do it ?,"/(*(number0, number0), /(-(*(number0, number0), *(+(/(*(number0, number0), number0), /(*(number0, number0), number0)), number1)), number1))"
"if a , b and c together can finish a piece of work in number0 days . a alone in number1 days and b in number2 days , then c alone can do it in ?","/(1, -(-(0.25, /(1, number1)), /(1, number2)))"
"there is a point p on the circle . a and b started running in two constant different speeds . a in clockwise and b in anti - clockwise . first time number0 m in clockwise from p then number1 anti - clockwise . if b is yet to complete one round , what is the circumference of the circle ?","/(+(*(*(1, 2), number0), number1), 2)"
"tanks a and b are each in the shape of a right circular cylinder . the interior of tank a has a height of number0 meters and a circumference of number1 meters , and the interior of tank b has a height of number1 meters and a circumference of number2 meters . the capacity of tank a is what percent of the capacity of tank b ?","*(*(^(/(number1, number2), 2), /(number0, number1)), 100)"
"the speed of a subway train is represented by the equation z = s ^ number0 + number0 s for all situations where number1 ≤ s ≤ number2 , where z is the rate of speed in kilometers per hour and s is the time in seconds from the moment the train starts moving . in kilometers per hour , how much faster is the subway train moving after number3 seconds than it was moving after number4 seconds ?","-(+(^(number3, number0), *(number3, number0)), +(^(number4, 2), *(number4, number0)))"
a contractor isengaged for number0 days on the condition that he receives rs . number1 for eachday he works & fined rs . number2.number3 for each day is absent . he gets rs . number4 in all . for how many days was heabsent ?,"/(-(*(number1, number0), number4), +(number1, number2.number5))"
"a garrison of number0 men has provisions for number1 days . at the end of number2 days , a reinforcement arrives , and it is now found that the provisions will last only for number3 days more . what is the reinforcement ?","-(/(-(*(number0, number1), *(number0, number2)), number3), number0)"
number0 machines can do a work in number1 days . how many machines are needed to complete the work in number2 days ?,"/(*(number0, number1), number2)"
a jogger running at number0 kmph alongside a railway track in number1 meters ahead of the engine of a number2 metres long train running at number3 kmph in the same direction . in how much time will the train pass the jogger ?,"/(+(number1, number2), *(-(number3, number0), 0.2778))"
a woman complete a journey in number0 hours . she travels first half of the journey at the rate of number1 km / hr and second half at the rate of number2 km / hr . find the total journey in km .,"*(*(/(*(number0, number2), +(number2, number1)), number1), 2)"
a train speeds past a pole in number0 seconds and a platform number1 meter long in number2 seconds . what is length of the train ?,"*(number1, -(2, 1))"
"a student reached his school late by number0 mins by travelling at a speed of number1 kmph . if he had travelled at a speed of number2 kmph , he would have reached his school number0 mins early . what is the distance between house and school ?","*(+(/(number0, 60), /(number0, 60)), /(*(number2, number1), -(number2, number1)))"
the sum of four consecutive even numbers is number0 . what would be the smallest number ?,"+(+(^(+(+(/(-(-(number0, 10), 2), 4), 2), 2), 2), ^(+(+(+(/(-(-(number0, 10), 2), 4), 2), 2), 2), 2)), +(^(/(-(-(number0, 10), 2), 4), 2), ^(+(/(-(-(number0, 10), 2), 4), 2), 2)))"
"nicky and cristina are running a race . since cristina is faster than nicky , she gives him a number0 meter head start . if cristina runs at a pace of number1 meters per second and nicky runs at a pace of only number2 meters per second , how many seconds will nicky have run before cristina catches up to him ?","/(number0, -(number1, number2))"
"a walks at number0 kmph and number1 hours after his start , b cycles after him at number2 kmph . how far from the start does b catch up with a ?","*(number1, number2)"
"a man can row upstream at number0 kmph and downstream at number1 kmph , and then find the speed of the man in still water ?","/(+(number0, number1), 2)"
"a train crosses a platform of number0 m in number1 sec , same train crosses another platform of length number2 m in number3 sec . then find the length of the train ?","-(*(number2, /(number1, /(number1, 3))), *(number0, /(number3, /(number1, 3))))"
"in what time will a train number0 m long cross an electric pole , it its speed be number1 km / hr ?","/(number0, *(number1, 0.2778))"
"a man traveled a total distance of number0 km . he traveled one - third of the whole trip by plane and the distance traveled by train is three - fifth of the distance traveled by bus . if he traveled by train , plane and bus , then find the distance traveled by bus ?","/(*(/(*(number0, 2), 3), 3), +(2, 3))"
a can do a piece of work in number0 days . b can do it in number1 days . with the assistance of c they completed the work in number2 days . find in how many days can c alone do it ?,"/(*(number0, number1), /(-(*(number0, number1), *(+(/(*(number0, number1), number0), /(*(number0, number1), number1)), number2)), number2))"
a car started running at a speed of number0 km / hr and the speed of the car was increased by number1 km / hr at the end of every hour . find the total distance covered by the car in the first number2 hours of the journey .,"/(+(+(number0, *(number1, number2)), number0), number1)"
the length of a room is number0 m and width is number1.number2 m . what is the cost of paying the floor by slabs at the rate of rs . number3 per sq . metre .,"*(number3, *(number0, number1.number2))"
a train number0 m long is running with a speed of number1 km / hr . in what time will it pass a man who is running at number2 km / hr in the direction opposite to that in which the train is going ?,"/(number0, *(+(number1, number2), 0.2778))"
"a , b and c can do a piece of work in number0 days , number1 days and number2 days respectively . they began the work together but c left number3 days before the completion of the work . in how many days was the work completed ?","+(/(-(1, *(+(/(1, number0), /(1, number1)), number3)), +(/(1, *(+(2, 3), *(2, 4))), +(/(1, number0), /(1, number1)))), number3)"
what percent of a day is number0 hours ?,"*(/(number0, *(*(4, 3), 2)), 100)"
a river boat leaves silver town and travels upstream to gold town at an average speed of number0 kilometers per hour . it returns by the same route at an average speed of number1 kilometers per hour . what is the average speed for the round - trip in kilometers per hour ?,"/(*(*(number0, number1), 2), +(number0, number1))"
"maxwell leaves his home and walks toward brad ' s house at the same time that brad leaves his home and runs toward maxwell ' s house . if the distance between their homes is number0 kilometers , maxwell ' s walking speed is number1 km / h , and brad ' s running speed is number2 km / h , what is the distance traveled by brad ?","*(number1, /(number0, +(number1, number2)))"
"a man can row upstream at number0 kmph and downstream at number1 kmph , and then find the speed of the man in still water ?","/(+(number0, number1), 2)"
a number0 metres long train running at the speed of number1 kmph crosses another train running in opposite direction at the speed of number2 kmph in number3 seconds . what is the length of the other train ?,"-(*(*(+(number1, number2), 0.2778), number3), number0)"
"if number0 lamps can be lighted number1 hours per day for number2 days for rs . number3.number4 , then the number of lamps which can be lighted number5 hours daily for number6 days for rs . number7.number8 , is ?","/(*(*(*(number1, number7.number1), number2), number0), *(*(number3.number4, number6), number5))"
a man complete a journey in number0 hours . he travels first half of the journey at the rate of number1 km / hr and second half at the rate of number2 km / hr . find the total journey in km .,"*(2, /(*(*(number1, number2), number0), +(number1, number2)))"
"a man sitting in a train which is traveling at number0 kmph observes that a goods train , traveling in opposite direction , takes number1 seconds to pass him . if the goods train is number2 m long , find its speed . ?","-(*(/(number2, number1), 3_6), number0)"
"a train number0 m long passes a man , running at number1 km / hr in the same direction in which the train is going , in number2 seconds . the speed of the train is ?","/(/(-(number0, *(*(number1, 0.2778), number1)), number2), 0.2778)"
"it would take one machine number0 hours to complete a large production order and another machine number1 hours to complete the same order . how many hours would it take both machines , working simultaneously at their respective constant rates , to complete the order ?","/(*(number0, number1), +(number0, number1))"
a train sets off at number0 : 00 pm at the speed of number2 km / h . another train starts at number3 : 00 pm in the same direction at the rate of number4 km / h . at what time will the second train catch the first train ?,"+(/(number2, -(number4, number2)), number3)"
a boat can travel with a speed of number0 km / hr in still water . if the speed of the stream is number1 km / hr . find the time taken by the boat to go number2 km downstream ?,"/(number2, +(number0, number1))"
the height of the wall is number0 times its width and length of the wall is number1 times its height . if the volume of the wall be number2 cu . m . its width is,"^(/(number2, *(*(number0, number1), number0)), /(1, 3))"
a train running at number0 / number1 of its own speed reached a place in number2 hours . how much time could be saved if the train would have run at its own speed ?,"*(/(number0, number1), number2)"
"the population of a bacteria colony doubles every day . if it was started number0 days ago with number1 bacteria and each bacteria lives for number2 days , how large is the colony today ?","-(^(number1, +(number0, 1)), 1)"
"a can copy number0 papers in number1 hrs , while a & b can copy number2 papers in number1 hrs . how many hours are required for b to copy number3 papers ?","/(*(number3, number1), -(number2, number0))"
"two trains , one from howrah to patna and the other from patna to howrah , start simultaneously . after they meet , the trains reach their destinations after number0 hours and number1 hours respectively . the ratio of their speeds is :","/(√(number1), √(number0))"
two trains number0 m and number1 m long run at the speed of number2 km / hr and number3 km / hr respectively in opposite directions on parallel tracks . the time which they take to cross each other is ?,"/(+(number0, number1), *(+(number2, number3), 0.2778))"
"calculate the time it will take for a train that is number0 meter long to pass a bridge of number1 meter length , if the speed of the train is number2 km / hour ?","/(+(number0, number1), /(number2, 3_6))"
"a and b can together finish a work in number0 days . they worked together for number1 days and then b left . after another number1 days , a finished the remaining work . in how many days a alone can finish the job ?","/(*(number1, number0), -(number0, number1))"
"a train covers a distance of number0 km in number1 min . if it takes number2 sec to pass a telegraph post , then the length of the train is ?","/(number0, -(/(number0, number1), number2))"
if number0 men and number1 boys can do a piece of work in number2 days and number3 men together will number4 boys can do it in number5 days . compare the daily work done by a man with that of a boy .,"/(-(*(number5, number4), *(number2, number1)), -(*(number2, number0), *(number5, number3)))"
"if in a race of number0 m , a covers the distance in number1 seconds and b in number2 seconds , then a beats b by :","*(/(-(number2, number1), number2), number0)"
the speed of a car is number0 km in the first hour and number1 km in the second hour . what is the average speed of the car ?,"/(+(number0, number1), 2)"
the speed of a boat in still water in number0 km / hr and the rate of current is number1 km / hr . the distance travelled downstream in number2 minutes is :,"*(+(number0, number1), /(number2, 60))"
"two passenger trains start at the same hour in the day from two different stations and move towards each other at the rate of number0 kmph and number1 kmph respectively . when they meet , it is found that one train has traveled number2 km more than the other one . the distance between the two stations is ?","+(*(/(number2, -(number1, number0)), number0), *(/(number2, -(number1, number0)), number1))"
"two persons a and b can complete a piece of work in number0 days and number1 days respectively . if they work together , what part of the work will be completed in number2 days ?","*(number2, +(/(1, number0), /(1, number1)))"
"the sum of all consecutive odd integers from − number0 to number1 , inclusive , is","+(+(+(+(number0, 2), +(+(number0, 2), 2)), +(+(+(number0, 2), 2), 2)), number1)"
"the population of a bacteria colony doubles every day . if it was started number0 days ago with number1 bacteria and each bacteria lives for number2 days , how large is the colony today ?","-(^(number1, +(number0, 1)), 1)"
"in what time will a train number0 m long cross an electric pole , it its speed be number1 km / hr ?","/(number0, *(number1, 0.2778))"
"john and lewis leave city a for city b simultaneously at number0 a . m in the morning driving in two cars at speeds of number1 mph and number2 mph respectively . as soon as lewis reaches city b , he returns back to city a along the same route and meets john on the way back . if the distance between the two cities is number3 miles , how far from city a did john and lewis meet ?","*(number1, /(number3, number2))"
"a light flashes every number0 seconds , how many times will it flash in ? of an hour ?","/(3600, number0)"
"a man goes downstream at number0 kmph , and upstream number1 kmph . the speed of the stream is","/(-(number0, number1), 2)"
a and b can do a piece of work in number0 days and number0 days respectively . they work together for number1 days and b leaves . in how many days the whole work is completed ?,"/(-(number1, +(/(number1, number0), /(number1, number0))), /(number1, number0))"
"a person walks at a speed of number0 km / hr and runs at a speed of number1 km / hr . how many hours will the person require to cover a distance of number2 km , if the person completes half of the distance by walking and the other half by running ?","+(/(/(number2, 2), number0), /(/(number2, 2), number1))"
a certain number of workers can do a work in number0 days . if there were number1 workers more it could be finished in number1 days less . how many workers are there ?,"/(*(-(number0, number1), number1), -(number0, -(number0, number1)))"
how long does a train number0 m long running at the speed of number1 km / hr takes to cross a bridge number2 m length ?,"/(+(number0, number2), *(number1, 0.2778))"
a train running at the speed of number0 km / hr crosses a pole in number1 seconds . find the length of the train ?,"*(/(*(number0, 1000), 3600), number1)"
"two cars , car number0 and car number1 move towards each other from e and y respectively with respective speeds of number2 m / s and number3 m / s . after meeting each other car number0 reaches y in number4 seconds . in how many seconds does car number1 reach e starting from y ?","/(*(+(number2, number3), /(*(number2, number4), number3)), number3)"
"the h . c . f of two numbers is number0 and their l . c . m is number1 . if one of the numbers is number2 , then the other is ?","*(number0, number2)"
